application_id,applicant_id,as_of_date,credit_history_status,credit_history_months_observed,max_days_overdue,delinquent_event_count,total_outstanding_debt,total_overdue_amount,debt_to_income_ratio,overdue_amount_to_income,delinquency_points,debt_burden_points,risk_tier_score,risk_tier,risk_tier_basis,risk_tier_ruleset_version
LA100080,APP100080,2026-10-04,ESTABLISHED,9,0.0,0,56042.11,0.0,0.4159,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100081,APP100081,2025-10-11,LIMITED_HISTORY,2,0.0,0,35949.0,0.0,0.2016,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100082,APP100082,2024-04-13,LIMITED_HISTORY,4,30.0,1,43901.55,945.19,0.3394,0.0073,2,1,4.0,T3,LIMITED_HISTORY,1.0
LA100083,APP100083,2024-11-22,ESTABLISHED,23,15.0,1,156376.26,12526.48,0.9627,0.0771,1,3,7.0,T4,CREDIT_HISTORY,1.0
LA100084,APP100084,2025-02-26,ESTABLISHED,20,71.0,2,145666.77,14261.1,1.0164,0.0995,3,3,9.0,T5,CREDIT_HISTORY,1.0
LA100085,APP100085,2026-08-03,ESTABLISHED,20,0.0,0,47914.0,0.0,0.6543,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100086,APP100086,2024-06-05,ESTABLISHED,19,15.0,5,90964.06,8104.79,1.1132,0.0992,1,3,7.0,T4,CREDIT_HISTORY,1.0
LA100087,APP100087,2025-11-24,ESTABLISHED,10,30.0,1,134887.41,17305.34,0.9038,0.1159,2,3,8.0,T5,CREDIT_HISTORY,1.0
LA100088,APP100088,2025-09-08,LIMITED_HISTORY,5,0.0,0,18437.28,0.0,0.1152,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100089,APP100089,2024-06-02,ESTABLISHED,9,0.0,0,103874.72,0.0,0.4765,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100090,APP100090,2024-04-29,ESTABLISHED,9,0.0,0,107860.84,0.0,0.489,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100091,APP100091,2024-12-01,ESTABLISHED,12,21.0,1,61931.72,5878.93,0.9611,0.0912,1,3,7.0,T4,CREDIT_HISTORY,1.0
LA100092,APP100092,2025-05-03,LIMITED_HISTORY,5,0.0,0,88582.4,0.0,0.9032,0.0,0,3,3.0,T2,LIMITED_HISTORY,1.0
LA100093,APP100093,2025-02-22,NO_HISTORY,0,,0,,,,,0,0,,T3,NO_CREDIT_HISTORY,1.0
LA100094,APP100094,2025-02-21,ESTABLISHED,23,15.0,1,108635.54,1453.19,0.7233,0.0097,1,2,4.0,T3,CREDIT_HISTORY,1.0
LA100095,APP100095,2024-10-24,ESTABLISHED,10,0.0,0,262990.33,0.0,1.1269,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100096,APP100096,2024-05-14,ESTABLISHED,16,0.0,0,59798.79,0.0,0.3875,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100097,APP100097,2026-01-06,LIMITED_HISTORY,3,0.0,0,40575.78,0.0,0.2105,0.0,0,0,0.0,T1,LIMITED_HISTORY,1.0
LA100098,APP100098,2025-11-09,ESTABLISHED,9,0.0,0,118194.48,0.0,0.6502,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100099,APP100099,2026-06-25,LIMITED_HISTORY,2,0.0,0,68331.17,0.0,0.3507,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100100,APP100100,2026-05-30,ESTABLISHED,13,0.0,0,228085.39,0.0,1.1983,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100101,APP100101,2026-01-09,ESTABLISHED,16,0.0,0,109700.8,0.0,0.889,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100102,APP100102,2024-03-20,ESTABLISHED,17,39.0,3,48506.37,6558.35,0.5959,0.0806,2,2,7.0,T4,CREDIT_HISTORY,1.0
LA100103,APP100103,2026-11-24,ESTABLISHED,6,0.0,0,226939.03,0.0,0.9099,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100104,APP100104,2024-01-23,ESTABLISHED,14,0.0,0,94763.62,0.0,0.5143,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100105,APP100105,2024-10-28,ESTABLISHED,18,0.0,0,144314.02,0.0,2.0164,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100106,APP100106,2024-07-14,ESTABLISHED,7,27.0,6,91619.61,6404.64,0.8747,0.0611,1,3,7.0,T4,CREDIT_HISTORY,1.0
LA100107,APP100107,2025-05-04,ESTABLISHED,9,94.0,1,29722.58,4737.72,0.5567,0.0887,4,2,9.0,T5,CREDIT_HISTORY,1.0
LA100108,APP100108,2024-03-26,ESTABLISHED,13,30.0,2,29442.0,1132.83,0.5412,0.0208,2,2,6.0,T4,CREDIT_HISTORY,1.0
LA100109,APP100109,2026-07-09,LIMITED_HISTORY,5,47.0,2,35108.35,4736.35,0.3632,0.049,2,1,5.0,T3,LIMITED_HISTORY,1.0
LA100110,APP100110,2026-01-28,ESTABLISHED,10,0.0,0,97840.85,0.0,1.0697,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100111,APP100111,2024-05-20,LIMITED_HISTORY,3,0.0,0,100342.94,0.0,0.4267,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100112,APP100112,2026-10-13,ESTABLISHED,17,0.0,0,176697.89,0.0,0.8952,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100113,APP100113,2026-03-30,ESTABLISHED,18,0.0,0,67537.86,0.0,0.274,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100114,APP100114,2026-04-01,ESTABLISHED,9,0.0,0,122052.27,0.0,0.6198,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100115,APP100115,2026-09-26,LIMITED_HISTORY,3,30.0,3,21749.1,1640.17,0.4106,0.031,2,1,5.0,T3,LIMITED_HISTORY,1.0
LA100116,APP100116,2024-06-10,ESTABLISHED,24,0.0,0,56648.05,0.0,0.3297,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100117,APP100117,2024-06-15,ESTABLISHED,10,0.0,0,92059.34,0.0,0.7163,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100118,APP100118,2025-02-07,ESTABLISHED,8,30.0,2,25623.82,1137.92,0.5276,0.0234,2,2,6.0,T4,CREDIT_HISTORY,1.0
LA100119,APP100119,2024-11-11,ESTABLISHED,19,0.0,0,80362.25,0.0,0.707,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100120,APP100120,2024-02-17,NO_HISTORY,0,,0,,,,,0,0,,T3,NO_CREDIT_HISTORY,1.0
LA100121,APP100121,2026-06-16,ESTABLISHED,24,15.0,1,37889.09,1336.79,0.3438,0.0121,1,1,3.0,T2,CREDIT_HISTORY,1.0
LA100122,APP100122,2024-06-27,ESTABLISHED,19,65.0,2,68307.49,9510.31,0.9086,0.1265,3,3,9.0,T5,CREDIT_HISTORY,1.0
LA100123,APP100123,2026-06-21,ESTABLISHED,20,21.0,1,41801.27,4223.25,0.4494,0.0454,1,1,4.0,T3,CREDIT_HISTORY,1.0
LA100124,APP100124,2026-03-29,ESTABLISHED,9,0.0,0,183569.26,0.0,0.9767,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100125,APP100125,2026-01-16,ESTABLISHED,10,0.0,0,29007.94,0.0,0.6079,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100126,APP100126,2024-10-20,LIMITED_HISTORY,1,0.0,0,117764.59,0.0,0.6088,0.0,0,2,2.0,T2,LIMITED_HISTORY,1.0
LA100127,APP100127,2025-01-30,ESTABLISHED,7,0.0,0,82411.25,0.0,0.5161,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100128,APP100128,2024-02-27,ESTABLISHED,20,0.0,0,106499.12,0.0,1.023,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100129,APP100129,2026-08-24,ESTABLISHED,10,16.0,1,153980.47,3375.64,1.6332,0.0358,1,3,6.0,T4,CREDIT_HISTORY,1.0
LA100130,APP100130,2026-05-19,ESTABLISHED,24,0.0,0,127459.34,0.0,0.5513,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100131,APP100131,2026-08-31,ESTABLISHED,20,15.0,1,113736.64,1736.61,0.5024,0.0077,1,2,4.0,T3,CREDIT_HISTORY,1.0
LA100132,APP100132,2025-06-20,ESTABLISHED,20,0.0,0,100414.74,0.0,0.5321,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100133,APP100133,2025-07-02,ESTABLISHED,18,0.0,0,49429.71,0.0,0.5378,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100134,APP100134,2026-03-22,ESTABLISHED,22,0.0,0,111957.87,0.0,0.6792,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100135,APP100135,2024-12-28,ESTABLISHED,17,0.0,0,55145.12,0.0,0.2891,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100136,APP100136,2024-09-07,ESTABLISHED,19,0.0,0,21421.85,0.0,0.3564,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100137,APP100137,2025-12-16,ESTABLISHED,12,0.0,0,248022.98,0.0,1.3016,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100138,APP100138,2024-03-06,LIMITED_HISTORY,3,0.0,0,84881.14,0.0,0.7471,0.0,0,2,2.0,T2,LIMITED_HISTORY,1.0
LA100139,APP100139,2024-03-02,ESTABLISHED,22,0.0,0,21648.86,0.0,0.2469,0.0,0,0,0.0,T1,CREDIT_HISTORY,1.0
LA100140,APP100140,2025-06-09,LIMITED_HISTORY,2,0.0,0,26878.22,0.0,0.3371,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100141,APP100141,2024-03-22,NO_HISTORY,0,,0,,,,,0,0,,T3,NO_CREDIT_HISTORY,1.0
LA100142,APP100142,2024-07-03,ESTABLISHED,18,68.0,3,113241.9,6638.52,0.644,0.0378,3,2,7.0,T4,CREDIT_HISTORY,1.0
LA100143,APP100143,2025-01-13,ESTABLISHED,11,0.0,0,202751.58,0.0,1.0923,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100144,APP100144,2026-02-10,ESTABLISHED,21,0.0,0,9599.14,0.0,0.2336,0.0,0,0,0.0,T1,CREDIT_HISTORY,1.0
LA100145,APP100145,2024-10-19,ESTABLISHED,23,0.0,0,219338.51,0.0,1.4137,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100146,APP100146,2026-11-02,ESTABLISHED,8,0.0,0,136431.14,0.0,1.0055,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100147,APP100147,2026-05-18,ESTABLISHED,11,120.0,1,262617.42,43186.64,1.187,0.1952,5,3,11.0,T5,CREDIT_HISTORY,1.0
LA100148,APP100148,2025-07-29,ESTABLISHED,10,0.0,0,93272.61,0.0,1.1419,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100149,APP100149,2025-02-08,ESTABLISHED,19,0.0,0,38786.87,0.0,0.975,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100150,APP100150,2024-07-31,ESTABLISHED,13,0.0,0,161456.83,0.0,1.0406,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100151,APP100151,2025-08-23,ESTABLISHED,16,75.0,4,119245.07,17321.12,0.7427,0.1079,3,2,8.0,T5,CREDIT_HISTORY,1.0
LA100152,APP100152,2024-04-20,ESTABLISHED,7,0.0,0,108577.77,0.0,0.8871,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100153,APP100153,2026-09-18,ESTABLISHED,8,123.0,1,43095.25,5647.73,0.4714,0.0618,5,1,9.0,T5,CREDIT_HISTORY,1.0
LA100154,APP100154,2024-11-03,ESTABLISHED,15,15.0,1,120422.5,15044.58,0.6422,0.0802,1,2,6.0,T4,CREDIT_HISTORY,1.0
LA100155,APP100155,2025-05-14,LIMITED_HISTORY,2,15.0,3,87852.5,11244.25,0.4892,0.0626,1,1,5.0,T3,LIMITED_HISTORY,1.0
LA100156,APP100156,2025-10-26,ESTABLISHED,23,0.0,0,79406.5,0.0,0.3844,0.0,0,1,1.0,T1,CREDIT_HISTORY,1.0
LA100157,APP100157,2024-02-28,LIMITED_HISTORY,3,31.0,1,39510.27,5414.29,0.4282,0.0587,2,1,6.0,T4,LIMITED_HISTORY,1.0
LA100158,APP100158,2025-10-30,LIMITED_HISTORY,5,15.0,1,39532.93,4789.55,0.2347,0.0284,1,0,3.0,T2,LIMITED_HISTORY,1.0
LA100159,APP100159,2026-01-22,ESTABLISHED,22,40.0,4,167047.34,14729.19,0.8089,0.0713,2,3,8.0,T5,CREDIT_HISTORY,1.0
LA100160,APP100160,2025-06-20,LIMITED_HISTORY,5,0.0,0,20015.27,0.0,0.3321,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100161,APP100161,2024-12-25,ESTABLISHED,10,0.0,0,35710.34,0.0,0.5896,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100162,APP100162,2026-10-14,ESTABLISHED,10,0.0,0,42221.28,0.0,0.9233,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100163,APP100163,2024-08-27,ESTABLISHED,10,40.0,1,28141.34,2330.24,0.2562,0.0212,2,1,5.0,T3,CREDIT_HISTORY,1.0
LA100164,APP100164,2024-06-22,ESTABLISHED,18,0.0,0,79741.52,0.0,1.4564,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100165,APP100165,2026-08-25,LIMITED_HISTORY,5,0.0,0,47676.87,0.0,0.2614,0.0,0,1,1.0,T1,LIMITED_HISTORY,1.0
LA100166,APP100166,2025-02-07,ESTABLISHED,22,0.0,0,86477.57,0.0,0.5977,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100167,APP100167,2025-12-09,ESTABLISHED,16,15.0,2,152665.1,6564.08,1.5646,0.0673,1,3,7.0,T4,CREDIT_HISTORY,1.0
LA100168,APP100168,2025-02-10,ESTABLISHED,9,0.0,0,73127.08,0.0,0.7559,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100169,APP100169,2026-08-22,ESTABLISHED,23,0.0,0,177015.53,0.0,1.0606,0.0,0,3,3.0,T2,CREDIT_HISTORY,1.0
LA100170,APP100170,2024-08-28,ESTABLISHED,21,0.0,0,148749.65,0.0,0.6748,0.0,0,2,2.0,T2,CREDIT_HISTORY,1.0
LA100171,APP100171,2026-07-03,ESTABLISHED,21,0.0,0,12878.33,0.0,0.1614,0.0,0,0,0.0,T1,CREDIT_HISTORY,1.0
