event_id,application_id,event_date,prior_tier,new_tier,prior_fico,new_fico,tier_changed_flag,bureau_source,event_status,event_reason
E0000048,APP100014,2024-11-25,T3,T3,688,682,False,Equifax,Completed,Credit Refresh
E0000049,APP100015,2025-05-01,T1,T1,850,850,False,Equifax,Completed,Fraud Verification
E0000050,APP100015,2025-11-08,T1,T1,850,845,False,Experian,Error,Credit Refresh
E0000051,APP100015,2026-06-17,T1,T1,835,848,False,Experian,Completed,Initial Application
E0000052,APP100016,2024-04-19,T2,T3,744,728,True,Equifax,Completed,Credit Refresh
E0000053,APP100016,2025-01-04,T3,T3,732,717,False,TransUnion,Completed,Re-Pull After Correction
E0000054,APP100016,2024-10-26,T2,T2,755,740,False,Experian,Error,Credit Refresh
E0000055,APP100016,2024-07-18,T2,T2,747,758,False,TransUnion,Completed,Manual Review
E0000056,APP100017,2023-03-04,T2,T2,778,783,False,TransUnion,Completed,Manual Review
E0000057,APP100017,2024-01-19,T2,T2,773,778,False,Experian,Completed,Manual Review
E0000058,APP100018,2025-07-09,T2,T2,751,768,False,TransUnion,Completed,Re-Pull After Correction
E0000059,APP100019,2025-05-06,T4,T4,630,626,False,Experian,Completed,Credit Refresh
E0000060,APP100019,2025-07-28,T4,T4,645,664,False,TransUnion,Completed,Initial Application
E0000061,APP100019,2025-06-20,T4,T4,644,657,False,TransUnion,Completed,Manual Review
E0000062,APP100019,2026-05-14,T4,T4,633,645,False,Equifax,Completed,Credit Refresh
E0000063,APP100019,2026-06-04,T4,T4,666,651,False,TransUnion,Completed,Fraud Verification
E0000064,APP100020,2025-02-19,T5,T5,597,616,False,Experian,Completed,Fraud Verification
E0000065,APP100020,2025-10-17,T5,T5,570,589,False,Equifax,Completed,Initial Application
E0000066,APP100020,2025-10-23,T5,T5,567,584,False,Equifax,Completed,Re-Pull After Correction
E0000067,APP100020,2026-01-30,T5,T5,582,599,False,Experian,Completed,Initial Application
E0000068,APP100021,2025-10-26,T3,T4,680,661,True,Equifax,Completed,Credit Refresh
E0000069,APP100021,2025-11-23,T4,T4,640,638,False,TransUnion,Resubmitted,Fraud Verification
E0000070,APP100021,2026-03-27,T4,T4,638,631,False,Experian,Completed,Manual Review
E0000071,APP100021,2026-05-31,T4,T4,659,672,False,TransUnion,Completed,Fraud Verification
E0000072,APP100021,2026-06-04,T4,T3,663,680,True,TransUnion,Completed,Initial Application
E0000073,APP100022,2024-04-25,T3,T3,739,737,False,Equifax,Completed,Manual Review
E0000074,APP100022,2024-02-19,T3,T3,710,705,False,TransUnion,Completed,Fraud Verification
E0000075,APP100022,2025-03-03,T3,T3,696,707,False,Equifax,Completed,Initial Application
E0000076,APP100023,2025-06-25,T5,T5,612,593,False,Experian,Completed,Manual Review
E0000077,APP100024,2023-04-06,T1,T1,813,820,False,Experian,Completed,Fraud Verification
E0000078,APP100024,2024-03-21,T1,T1,812,803,False,Equifax,Completed,Initial Application
E0000079,APP100024,2024-01-23,T1,T1,844,850,False,Experian,Error,Re-Pull After Correction
E0000080,APP100025,2025-11-18,T3,T3,687,682,False,Experian,Completed,Credit Refresh
E0000081,APP100025,2025-08-21,T3,T4,691,677,True,Equifax,Completed,Fraud Verification
E0000082,APP100026,2025-02-21,T1,T1,822,833,False,Equifax,Completed,Initial Application
E0000083,APP100027,2024-03-01,T4,T4,625,640,False,TransUnion,Completed,Initial Application
E0000084,APP100027,2025-03-12,T4,T4,623,621,False,Equifax,Completed,Fraud Verification
E0000085,APP100027,2025-04-22,T4,T4,661,666,False,TransUnion,Completed,Manual Review
E0000086,APP100028,2022-08-16,T4,T4,661,648,False,Experian,Completed,Fraud Verification
E0000087,APP100028,2023-01-21,T3,T3,698,696,False,Equifax,Completed,Fraud Verification
E0000088,APP100028,2023-10-17,T4,T4,668,658,False,Equifax,Completed,Re-Pull After Correction
E0000089,APP100029,2025-03-28,T3,T3,705,692,False,TransUnion,Pending,Credit Refresh
E0000090,APP100029,2025-06-06,T3,T3,731,735,False,Experian,Completed,Credit Refresh
E0000091,APP100029,2026-07-08,T3,T3,716,731,False,Equifax,Pending,Re-Pull After Correction
E0000092,APP100029,2026-03-31,T3,T3,711,728,False,Equifax,Completed,Re-Pull After Correction
E0000093,APP100029,2026-08-12,T2,T2,744,750,False,Experian,Pending,Fraud Verification
E0000094,APP100030,2025-08-23,T2,T2,748,767,False,Equifax,Pending,Manual Review
E0000095,APP100030,2026-02-11,T3,T3,726,737,False,Equifax,Completed,Fraud Verification
E0000096,APP100030,2026-01-15,T3,T2,738,754,True,Experian,Completed,Credit Refresh
E0000097,APP100031,2024-06-22,T3,T3,731,734,False,Equifax,Completed,Credit Refresh
E0000098,APP100032,2023-06-12,T3,T3,697,715,False,Equifax,Completed,Initial Application
E0000099,APP100032,2023-10-03,T3,T3,710,691,False,TransUnion,Pending,Credit Refresh
E0000100,APP100033,2025-05-25,T2,T2,760,777,False,Equifax,Completed,Credit Refresh
E0000101,APP100034,2025-07-02,T2,T2,763,754,False,Equifax,Completed,Manual Review
E0000102,APP100034,2026-03-14,T2,T2,763,752,False,Experian,Pending,Manual Review
E0000103,APP100034,2026-01-12,T2,T2,779,761,False,TransUnion,Completed,Re-Pull After Correction
E0000104,APP100034,2026-08-05,T2,T2,769,787,False,Experian,Completed,Initial Application
E0000105,APP100034,2026-08-25,T2,T2,777,772,False,Experian,Completed,Re-Pull After Correction
E0000106,APP100035,2025-06-01,T2,T2,744,741,False,Equifax,Completed,Re-Pull After Correction
E0000107,APP100035,2025-07-12,T2,T2,760,747,False,Equifax,Completed,Initial Application
E0000108,APP100035,2026-04-05,T2,T3,755,739,True,Equifax,Completed,Fraud Verification
E0000109,APP100035,2026-09-30,T2,T2,769,788,False,TransUnion,Completed,Credit Refresh
E0000110,APP100036,2024-03-09,T5,T5,453,443,False,Experian,Completed,Initial Application
E0000111,APP100036,2025-03-24,T5,T5,441,437,False,Experian,Completed,Fraud Verification
E0000112,APP100037,2023-09-29,T4,T4,643,623,False,Experian,Completed,Re-Pull After Correction
E0000113,APP100037,2023-05-25,T3,T4,682,676,True,Experian,Completed,Fraud Verification
E0000114,APP100037,2023-07-29,T4,T4,655,650,False,TransUnion,Completed,Manual Review
E0000115,APP100037,2023-11-10,T3,T4,686,674,True,TransUnion,Completed,Manual Review
E0000116,APP100038,2023-06-16,T3,T3,709,716,False,Experian,Completed,Initial Application
E0000117,APP100038,2024-03-25,T3,T3,706,700,False,TransUnion,Completed,Fraud Verification
E0000118,APP100038,2023-11-03,T3,T3,724,704,False,TransUnion,Completed,Re-Pull After Correction
E0000119,APP100039,2023-06-05,T3,T3,691,683,False,Equifax,Completed,Credit Refresh
E0000120,APP100039,2024-07-02,T3,T3,688,698,False,TransUnion,Completed,Manual Review
E0000121,APP100040,2025-11-06,T3,T3,700,680,False,Experian,Completed,Re-Pull After Correction
E0000122,APP100041,2025-10-25,T1,T1,827,843,False,Equifax,Pending,Fraud Verification
E0000123,APP100041,2025-09-19,T1,T1,822,829,False,Experian,Completed,Fraud Verification
E0000124,APP100041,2026-03-09,T1,T1,832,847,False,TransUnion,Completed,Credit Refresh
E0000125,APP100041,2026-06-02,T1,T1,815,802,False,TransUnion,Completed,Initial Application
E0000126,APP100041,2026-06-06,T1,T1,850,835,False,TransUnion,Completed,Credit Refresh
E0000127,APP100042,2024-09-02,T2,T2,760,766,False,Experian,Completed,Manual Review
E0000128,APP100042,2024-11-09,T2,T3,745,732,True,Experian,Completed,Fraud Verification
E0000129,APP100043,2023-01-29,T3,T3,683,703,False,TransUnion,Completed,Initial Application
E0000130,APP100043,2023-05-22,T3,T3,683,701,False,TransUnion,Completed,Re-Pull After Correction
E0000131,APP100043,2023-09-11,T3,T3,697,715,False,TransUnion,Completed,Fraud Verification
E0000132,APP100043,2024-03-28,T3,T4,689,669,True,Experian,Completed,Initial Application
E0000133,APP100044,2022-10-17,T2,T2,766,764,False,TransUnion,Completed,Credit Refresh
E0000134,APP100044,2024-02-08,T2,T2,777,781,False,Equifax,Completed,Re-Pull After Correction
E0000135,APP100045,2025-06-23,T2,T2,744,763,False,Equifax,Completed,Credit Refresh
E0000136,APP100045,2024-12-23,T2,T2,745,741,False,TransUnion,Completed,Credit Refresh
E0000137,APP100045,2025-08-08,T2,T2,753,764,False,Experian,Completed,Re-Pull After Correction
E0000138,APP100046,2024-01-30,T3,T3,707,720,False,Equifax,Completed,Fraud Verification
E0000139,APP100046,2024-09-09,T4,T4,666,657,False,Experian,Completed,Re-Pull After Correction
E0000140,APP100047,2025-05-18,T3,T3,707,716,False,Experian,Completed,Initial Application
E0000141,APP100047,2025-05-24,T4,T4,679,662,False,Equifax,Completed,Re-Pull After Correction
E0000142,APP100047,2025-07-07,T3,T3,684,690,False,Experian,Completed,Fraud Verification
E0000143,APP100047,2026-05-26,T3,T3,704,718,False,Experian,Completed,Manual Review
E0000144,APP100047,2026-01-03,T3,T4,697,678,True,Equifax,Completed,Initial Application
E0000145,APP100048,2024-11-10,T2,T2,742,741,False,TransUnion,Completed,Re-Pull After Correction
E0000146,APP100048,2025-02-22,T3,T3,712,697,False,Equifax,Completed,Initial Application
E0000147,APP100048,2025-08-28,T3,T3,733,717,False,Experian,Completed,Manual Review
E0000148,APP100048,2025-09-26,T2,T3,741,728,True,TransUnion,Completed,Initial Application
E0000149,APP100049,2024-01-27,T5,T5,611,598,False,Experian,Completed,Re-Pull After Correction
E0000150,APP100049,2024-09-16,T4,T5,632,617,True,TransUnion,Completed,Initial Application
E0000151,APP100049,2025-03-12,T4,T4,620,624,False,TransUnion,Completed,Credit Refresh
E0000152,APP100049,2024-10-15,T5,T5,613,602,False,TransUnion,Completed,Initial Application
E0000153,APP100049,2025-01-14,T5,T5,615,617,False,TransUnion,Completed,Credit Refresh
E0000154,APP100050,2025-04-30,T5,T5,401,385,False,TransUnion,Error,Credit Refresh
E0000155,APP100050,2025-04-18,T5,T5,402,417,False,Equifax,Completed,Manual Review
E0000156,APP100051,2024-01-20,T2,T2,798,799,False,Equifax,Completed,Fraud Verification
E0000157,APP100051,2024-03-19,T1,T1,813,815,False,Equifax,Completed,Fraud Verification
E0000158,APP100051,2024-07-27,T2,T2,781,778,False,TransUnion,Completed,Credit Refresh
E0000159,APP100051,2024-11-19,T2,T2,796,789,False,TransUnion,Completed,Manual Review
E0000160,APP100052,2025-12-26,T2,T3,740,739,True,Experian,Completed,Credit Refresh
E0000161,APP100052,2026-01-12,T3,T3,720,711,False,TransUnion,Completed,Initial Application
E0000162,APP100052,2026-07-24,T3,T3,698,712,False,Experian,Completed,Fraud Verification
E0000163,APP100052,2026-09-15,T3,T3,724,734,False,TransUnion,Completed,Initial Application
E0000164,APP100053,2023-12-26,T2,T2,778,773,False,Equifax,Completed,Fraud Verification
E0000165,APP100053,2024-06-16,T2,T2,783,781,False,Experian,Completed,Initial Application
E0000166,APP100053,2024-03-16,T2,T2,782,773,False,TransUnion,Completed,Initial Application
E0000167,APP100053,2024-12-01,T1,T1,804,809,False,TransUnion,Completed,Initial Application
E0000168,APP100054,2025-11-08,T3,T3,709,700,False,Experian,Completed,Fraud Verification
E0000169,APP100054,2026-01-28,T3,T3,738,739,False,Experian,Completed,Re-Pull After Correction
E0000170,APP100054,2026-01-18,T3,T3,717,698,False,TransUnion,Completed,Fraud Verification
E0000171,APP100054,2025-12-29,T3,T2,734,744,True,Equifax,Completed,Manual Review
E0000172,APP100054,2026-01-20,T2,T3,740,720,True,Experian,Completed,Fraud Verification
E0000173,APP100055,2024-01-13,T1,T1,821,829,False,Equifax,Completed,Manual Review
E0000174,APP100055,2024-07-11,T1,T1,821,825,False,TransUnion,Completed,Initial Application
E0000175,APP100055,2025-03-09,T1,T1,825,813,False,Equifax,Resubmitted,Manual Review
E0000176,APP100056,2025-02-22,T2,T2,772,767,False,TransUnion,Completed,Fraud Verification
E0000177,APP100057,2024-08-26,T2,T2,778,769,False,Experian,Completed,Credit Refresh
E0000178,APP100057,2024-06-30,T2,T2,773,760,False,Equifax,Completed,Manual Review
E0000179,APP100057,2024-12-19,T2,T2,779,779,False,Equifax,Completed,Fraud Verification
E0000180,APP100058,2024-05-22,T1,T1,815,800,False,Experian,Completed,Re-Pull After Correction
E0000181,APP100058,2024-09-03,T2,T2,788,770,False,TransUnion,Completed,Fraud Verification
E0000182,APP100058,2025-04-12,T2,T1,794,813,True,TransUnion,Completed,Manual Review
E0000183,APP100058,2024-12-26,T2,T2,776,780,False,TransUnion,Completed,Re-Pull After Correction
E0000184,APP100058,2025-08-12,T2,T2,787,789,False,Equifax,Completed,Fraud Verification
E0000185,APP100059,2024-03-24,T3,T3,717,708,False,TransUnion,Completed,Initial Application
E0000186,APP100059,2025-01-31,T3,T3,717,723,False,Equifax,Completed,Credit Refresh
E0000187,APP100060,2024-08-29,T3,T3,728,720,False,TransUnion,Completed,Initial Application
E0000188,APP100061,2023-12-04,T1,T2,802,783,True,TransUnion,Completed,Re-Pull After Correction
E0000189,APP100061,2024-10-27,T2,T2,780,779,False,TransUnion,Completed,Manual Review
E0000190,APP100062,2025-06-13,T5,T5,593,585,False,TransUnion,Completed,Credit Refresh
E0000191,APP100063,2025-07-07,T3,T3,692,708,False,Equifax,Error,Manual Review
E0000192,APP100063,2025-05-23,T3,T3,693,686,False,Experian,Completed,Re-Pull After Correction
E0000193,APP100063,2025-10-14,T3,T3,720,719,False,Equifax,Completed,Re-Pull After Correction
E0000194,APP100063,2026-01-24,T3,T3,705,703,False,Experian,Completed,Re-Pull After Correction
E0000195,APP100063,2026-03-15,T3,T3,711,724,False,Equifax,Completed,Credit Refresh
E0000196,APP100064,2024-09-28,T1,T1,850,835,False,Experian,Completed,Manual Review
E0000197,APP100064,2024-08-12,T1,T1,850,850,False,TransUnion,Completed,Fraud Verification
E0000198,APP100064,2024-11-19,T1,T1,823,814,False,TransUnion,Completed,Fraud Verification
E0000199,APP100064,2025-06-01,T1,T1,850,831,False,TransUnion,Completed,Fraud Verification
E0000200,APP100064,2025-07-04,T1,T1,850,850,False,TransUnion,Completed,Fraud Verification
E0000201,APP100065,2025-02-03,T5,T5,473,479,False,TransUnion,Completed,Fraud Verification
E0000202,APP100065,2025-06-10,T5,T5,446,441,False,Experian,Completed,Initial Application
E0000203,APP100065,2026-01-03,T5,T5,452,472,False,Experian,Completed,Fraud Verification
E0000204,APP100065,2026-05-19,T5,T5,467,485,False,Experian,Completed,Fraud Verification
E0000205,APP100066,2023-01-04,T2,T2,766,746,False,Equifax,Completed,Re-Pull After Correction
E0000206,APP100067,2024-05-26,T2,T2,776,768,False,TransUnion,Completed,Initial Application
E0000207,APP100067,2025-05-28,T2,T2,756,767,False,Experian,Completed,Credit Refresh
E0000208,APP100067,2025-09-08,T2,T2,762,749,False,TransUnion,Completed,Credit Refresh
E0000209,APP100068,2024-10-21,T4,T4,667,649,False,Experian,Completed,Credit Refresh
E0000210,APP100069,2025-01-21,T3,T3,734,738,False,Equifax,Pending,Credit Refresh
E0000211,APP100069,2025-06-21,T2,T3,749,736,True,TransUnion,Completed,Credit Refresh
E0000212,APP100070,2023-10-03,T4,T4,671,670,False,Equifax,Completed,Re-Pull After Correction
E0000213,APP100070,2023-08-17,T4,T3,678,681,True,Experian,Completed,Manual Review
E0000214,APP100070,2024-05-22,T4,T4,648,637,False,Experian,Completed,Re-Pull After Correction
E0000215,APP100070,2024-06-12,T4,T4,661,656,False,TransUnion,Completed,Manual Review
E0000216,APP100071,2025-05-11,T4,T4,643,654,False,Experian,Pending,Manual Review
E0000217,APP100071,2026-04-09,T4,T4,665,660,False,Experian,Completed,Re-Pull After Correction
E0000218,APP100072,2025-01-06,T2,T2,750,763,False,Experian,Completed,Fraud Verification
E0000219,APP100072,2024-11-17,T2,T2,757,740,False,Experian,Completed,Manual Review
E0000220,APP100072,2025-01-15,T2,T2,767,761,False,TransUnion,Completed,Credit Refresh
E0000221,APP100072,2025-06-25,T2,T2,789,773,False,TransUnion,Resubmitted,Fraud Verification
E0000222,APP100072,2025-12-22,T2,T2,755,771,False,Equifax,Completed,Manual Review
E0000223,APP100073,2024-02-05,T1,T1,816,819,False,TransUnion,Completed,Manual Review
E0000224,APP100074,2025-04-03,T4,T4,668,657,False,TransUnion,Completed,Initial Application
E0000225,APP100075,2024-04-15,T1,T1,850,850,False,Equifax,Completed,Initial Application
E0000226,APP100075,2025-01-14,T1,T1,835,843,False,Equifax,Completed,Fraud Verification
E0000227,APP100075,2025-01-24,T1,T1,843,850,False,Equifax,Completed,Initial Application
E0000228,APP100075,2024-10-14,T1,T1,850,850,False,Equifax,Pending,Manual Review
E0000229,APP100075,2024-12-22,T1,T1,848,850,False,Equifax,Completed,Re-Pull After Correction
E0000230,APP100076,2025-03-16,T2,T3,743,736,True,TransUnion,Completed,Initial Application
E0000231,APP100076,2025-10-18,T2,T3,741,723,True,Equifax,Completed,Manual Review
E0000232,APP100076,2026-03-18,T2,T2,752,746,False,Equifax,Completed,Initial Application
E0000233,APP100076,2026-03-08,T2,T3,746,733,True,Equifax,Pending,Fraud Verification
E0000234,APP100077,2024-02-06,T4,T4,645,655,False,Experian,Completed,Credit Refresh
E0000235,APP100077,2024-03-17,T4,T4,637,655,False,Experian,Completed,Re-Pull After Correction
E0000236,APP100077,2024-10-21,T4,T4,656,663,False,TransUnion,Completed,Credit Refresh
E0000237,APP100078,2024-10-04,T3,T3,697,710,False,Experian,Completed,Fraud Verification
E0000238,APP100078,2025-02-23,T3,T3,703,704,False,Experian,Pending,Initial Application
E0000239,APP100078,2025-07-22,T4,T3,664,683,True,Equifax,Completed,Fraud Verification
E0000240,APP100079,2024-01-16,T2,T3,746,732,True,Equifax,Completed,Re-Pull After Correction
E0000241,APP100080,2025-08-30,T1,T1,850,838,False,TransUnion,Completed,Credit Refresh
E0000242,APP100081,2024-05-09,T1,T1,806,803,False,Equifax,Completed,Manual Review
E0000243,APP100081,2024-07-30,T2,T2,793,788,False,Equifax,Completed,Fraud Verification
E0000244,APP100081,2024-06-19,T1,T1,829,812,False,TransUnion,Completed,Fraud Verification
E0000245,APP100081,2025-07-02,T1,T1,829,832,False,Equifax,Completed,Credit Refresh
E0000246,APP100082,2023-05-02,T1,T1,849,841,False,TransUnion,Completed,Manual Review
E0000247,APP100082,2023-12-29,T1,T1,850,850,False,Experian,Pending,Re-Pull After Correction
E0000248,APP100082,2023-09-16,T1,T1,850,832,False,Equifax,Completed,Initial Application
E0000249,APP100083,2023-12-05,T4,T4,670,675,False,Experian,Completed,Credit Refresh
E0000250,APP100083,2023-12-12,T4,T4,670,675,False,Equifax,Completed,Fraud Verification
E0000251,APP100083,2023-09-01,T4,T4,649,654,False,Experian,Completed,Re-Pull After Correction
E0000252,APP100083,2024-03-28,T4,T4,678,670,False,TransUnion,Completed,Credit Refresh
E0000253,APP100083,2024-08-14,T3,T3,681,698,False,Equifax,Completed,Manual Review
E0000254,APP100084,2024-05-21,T3,T4,683,665,True,Experian,Completed,Initial Application
E0000255,APP100085,2025-02-22,T2,T2,799,795,False,TransUnion,Completed,Fraud Verification
E0000256,APP100085,2025-07-25,T2,T1,796,808,True,Equifax,Resubmitted,Initial Application
E0000257,APP100085,2025-05-29,T1,T1,816,835,False,TransUnion,Completed,Initial Application
E0000258,APP100085,2025-11-01,T1,T1,826,811,False,TransUnion,Completed,Re-Pull After Correction
E0000259,APP100085,2025-11-15,T1,T1,845,850,False,TransUnion,Completed,Fraud Verification
E0000260,APP100086,2023-01-10,T5,T5,420,435,False,Equifax,Completed,Initial Application
E0000261,APP100086,2023-10-13,T5,T5,453,443,False,Equifax,Completed,Manual Review
E0000262,APP100086,2023-12-10,T5,T5,426,419,False,TransUnion,Completed,Credit Refresh
E0000263,APP100086,2023-11-30,T5,T5,423,417,False,Equifax,Completed,Manual Review
E0000264,APP100086,2024-03-31,T5,T5,421,430,False,Experian,Completed,Manual Review
E0000265,APP100087,2024-07-20,T3,T4,684,675,True,TransUnion,Completed,Manual Review
E0000266,APP100087,2025-04-03,T3,T4,681,670,True,Equifax,Completed,Re-Pull After Correction
E0000267,APP100087,2025-02-11,T4,T4,657,661,False,Experian,Completed,Re-Pull After Correction
E0000268,APP100087,2025-07-23,T4,T4,649,661,False,Experian,Completed,Manual Review
E0000269,APP100088,2024-05-31,T2,T2,758,767,False,Experian,Completed,Initial Application
E0000270,APP100088,2025-03-25,T2,T2,761,774,False,Experian,Completed,Initial Application
E0000271,APP100088,2024-10-31,T2,T2,769,785,False,Equifax,Pending,Re-Pull After Correction
E0000272,APP100089,2023-01-23,T3,T3,723,715,False,Equifax,Completed,Credit Refresh
E0000273,APP100089,2023-06-23,T3,T3,711,728,False,Equifax,Completed,Initial Application
E0000274,APP100089,2024-05-02,T3,T3,719,713,False,TransUnion,Completed,Credit Refresh
E0000275,APP100089,2024-01-20,T3,T2,725,741,True,TransUnion,Completed,Re-Pull After Correction
E0000276,APP100090,2023-08-31,T3,T3,709,699,False,TransUnion,Resubmitted,Fraud Verification
E0000277,APP100090,2023-09-28,T3,T2,737,748,True,Experian,Completed,Initial Application
E0000278,APP100091,2024-01-12,T3,T3,695,704,False,Equifax,Completed,Manual Review
E0000279,APP100092,2024-01-21,T4,T4,653,658,False,Equifax,Completed,Re-Pull After Correction
E0000280,APP100092,2025-01-27,T3,T3,702,705,False,Experian,Completed,Fraud Verification
E0000281,APP100092,2025-02-04,T4,T4,656,649,False,TransUnion,Completed,Re-Pull After Correction
E0000282,APP100093,2023-11-28,T3,T3,731,719,False,Equifax,Resubmitted,Re-Pull After Correction
E0000283,APP100093,2024-05-25,T3,T3,729,734,False,Equifax,Completed,Fraud Verification
E0000284,APP100093,2024-09-23,T3,T3,706,689,False,Experian,Completed,Initial Application
E0000285,APP100093,2024-09-22,T3,T3,701,697,False,TransUnion,Resubmitted,Initial Application
E0000286,APP100094,2023-10-09,T4,T4,647,627,False,Equifax,Completed,Manual Review
E0000287,APP100094,2024-07-21,T3,T3,682,684,False,Experian,Completed,Initial Application
E0000288,APP100094,2024-08-02,T4,T4,645,658,False,TransUnion,Completed,Credit Refresh
E0000289,APP100094,2024-07-15,T3,T3,691,685,False,Experian,Resubmitted,Initial Application
E0000290,APP100094,2025-01-03,T3,T4,685,673,True,Experian,Completed,Fraud Verification
E0000291,APP100095,2024-02-19,T4,T4,637,639,False,TransUnion,Completed,Re-Pull After Correction
E0000292,APP100095,2023-08-07,T4,T4,654,635,False,Experian,Completed,Re-Pull After Correction
E0000293,APP100096,2022-11-30,T1,T1,838,841,False,Equifax,Completed,Re-Pull After Correction
E0000294,APP100096,2023-04-13,T1,T1,837,822,False,TransUnion,Completed,Re-Pull After Correction
E0000295,APP100096,2023-11-15,T1,T1,850,850,False,TransUnion,Resubmitted,Credit Refresh
E0000296,APP100096,2023-12-13,T1,T1,840,845,False,Experian,Pending,Manual Review
E0000297,APP100096,2023-12-14,T1,T1,830,832,False,TransUnion,Completed,Re-Pull After Correction
E0000298,APP100097,2024-09-03,T5,T5,602,619,False,Equifax,Completed,Fraud Verification
E0000299,APP100097,2024-12-03,T4,T5,626,616,True,Experian,Completed,Manual Review
E0000300,APP100097,2024-11-18,T5,T4,612,629,True,Experian,Pending,Credit Refresh
E0000301,APP100097,2025-11-30,T5,T4,613,621,True,Equifax,Completed,Fraud Verification
E0000302,APP100097,2025-12-05,T4,T4,641,658,False,TransUnion,Completed,Re-Pull After Correction
