application_id,annual_income_usd,employment_duration_months,credit_risk_tier,fico_score,region_state,requested_amount_usd,product_code,dti_pct,military_scra_flag,bankruptcy_last_7y_flag,collections_past_12_months_flag,preliminary_decision,date
APP100045,"$166,198 ",162,T3,736,TX,"$33,862 ",AUT-TR,19.5,FALSE,FALSE,FALSE,Review,1/14/2026
APP100046,"$102,013 ",180,T3,689,FL,"$2,457 ",CRD-SC,29.9,FALSE,FALSE,FALSE,Review,11/14/2024
APP100047,"$234,565 ",40,T3,690,FL,"$427,072 ",MTG-FH,20.4,FALSE,FALSE,FALSE,Review,11/4/2026
APP100048,"$109,956 ",224,T3,724,TX,"$33,971 ",AUT-TT,40.2,FALSE,FALSE,FALSE,Review,1/16/2026
APP100049,"$49,228 ",336,T4,626,NC,"$311,444 ",MTG-FH,27.1,FALSE,TRUE,FALSE,Review,6/29/2025
APP100050,"$83,420 ",266,T5,411,TX,"$39,824 ",CRD-EL,39.7,FALSE,FALSE,FALSE,Declined,12/6/2025
APP100051,"$249,695 ",132,T2,791,TX,"$2,575 ",CRD-SC,28.6,FALSE,FALSE,FALSE,Approved,12/27/2024
APP100052,"$175,957 ",209,T3,721,NC,"$23,595 ",AUT-TT,27.7,FALSE,FALSE,FALSE,Review,10/22/2026
APP100053,"$213,136 ",75,T2,788,CA,"$665,574 ",MTG-CV,29.4,FALSE,FALSE,FALSE,Approved,3/21/2025
APP100054,"$207,375 ",260,T3,718,FL,"$55,512 ",AUT-TT,36.2,FALSE,FALSE,FALSE,Review,9/16/2026
APP100055,"$209,665 ",173,T1,813,CA,"$92,040 ",AUT-TR,21.4,FALSE,FALSE,FALSE,Approved,4/27/2025
APP100056,"$103,805 ",255,T2,751,TX,"$18,221 ",AUT-SP,14,FALSE,FALSE,FALSE,Approved,7/25/2025
APP100057,"$154,281 ",212,T2,794,NC,"$773,494 ",MTG-CV,13.7,TRUE,FALSE,FALSE,Approved,6/24/2025
APP100058,"$237,652 ",30,T2,799,TX,"$75,583 ",AUT-TR,26.1,TRUE,FALSE,FALSE,Approved,9/25/2025
APP100059,"$236,487 ",13,T3,710,NC,"$2,199 ",CRD-SC,35.2,FALSE,FALSE,FALSE,Review,8/15/2025
APP100060,"$150,414 ",186,T3,716,NC,"$45,102 ",AUT-TT,16.8,FALSE,FALSE,FALSE,Review,7/3/2025
APP100061,"$105,509 ",152,T2,779,NC,"$4,841 ",CRD-ST,17.1,FALSE,FALSE,FALSE,Approved,11/27/2024
APP100062,"$234,042 ",39,T5,618,TX,"$159,317 ",MTG-FH,44,FALSE,TRUE,TRUE,Declined,9/16/2025
APP100063,"$104,680 ",205,T3,710,NC,"$14,197 ",AUT-SP,16.2,FALSE,FALSE,FALSE,Review,8/5/2026
APP100064,"$175,183 ",6,T1,847,FL,"$31,324 ",AUT-TR,26,FALSE,FALSE,FALSE,Approved,9/16/2025
APP100065,"$125,224 ",116,T5,468,FL,"$25,266 ",AUT-TT,29.1,FALSE,FALSE,FALSE,Declined,6/26/2026
APP100066,"$51,880 ",311,T2,761,TX,"$912,508 ",MTG-JB,27.2,FALSE,FALSE,FALSE,Approved,4/13/2024
APP100067,"$179,454 ",113,T2,764,TX,"$24,143 ",AUT-TT,20.6,FALSE,FALSE,FALSE,Approved,10/17/2025
APP100068,"$167,611 ",296,T3,684,NC,"$2,451 ",CRD-ST,19,FALSE,FALSE,FALSE,Review,10/30/2025
APP100069,"$87,699 ",138,T3,729,NC,"$1,798,431 ",MTG-JB,21.8,FALSE,FALSE,FALSE,Review,2/6/2026
APP100070,"$37,588 ",289,T4,654,NC,"$36,334 ",AUT-TT,27.4,FALSE,TRUE,FALSE,Review,11/1/2024
APP100071,"$138,212 ",117,T4,663,FL,"$1,336,213 ",MTG-JB,27.2,FALSE,FALSE,FALSE,Review,9/13/2026
APP100072,"$128,558 ",65,T2,769,TX,"$25,051 ",AUT-SP,30.3,FALSE,FALSE,FALSE,Approved,2/5/2026
APP100073,"$184,912 ",233,T1,822,TX,"$49,235 ",AUT-TT,16.5,FALSE,FALSE,FALSE,Approved,8/8/2024
APP100074,"$155,401 ",257,T4,664,CA,"$18,758 ",AUT-TT,46.6,FALSE,FALSE,FALSE,Review,5/13/2026
APP100075,"$227,446 ",101,T1,847,TX,"$2,377 ",CRD-SC,24.1,FALSE,FALSE,FALSE,Approved,9/27/2025
APP100076,"$69,032 ",296,T3,734,NC,$923 ,CRD-SC,41.8,FALSE,FALSE,FALSE,Review,8/13/2026
APP100077,"$178,693 ",134,T4,639,FL,"$8,654 ",CRD-ST,32.9,FALSE,FALSE,TRUE,Review,3/29/2025
APP100078,"$93,002 ",167,T3,683,NC,"$57,731 ",AUT-TT,20.2,FALSE,FALSE,FALSE,Review,2/22/2026
APP100079,"$114,727 ",37,T2,769,FL,"$1,576,698 ",MTG-JB,34.5,FALSE,FALSE,FALSE,Approved,1/9/2025
APP100080,"$134,756 ",276,T1,839,TX,"$28,679 ",CRD-EL,12.5,FALSE,FALSE,FALSE,Approved,10/4/2026
APP100081,"$178,287 ",141,T1,808,TX,$801 ,CRD-SC,20.1,FALSE,FALSE,FALSE,Approved,10/11/2025
APP100082,"$129,361 ",14,T1,831,FL,"$833,214 ",MTG-CV,20.2,FALSE,FALSE,FALSE,Approved,4/13/2024
APP100083,"$162,434 ",173,T4,665,NC,"$403,519 ",MTG-CV,46.2,FALSE,FALSE,FALSE,Review,11/22/2024
APP100084,"$143,323 ",355,T4,664,CA,"$21,626 ",CRD-EL,42.8,FALSE,FALSE,FALSE,Review,2/26/2025
APP100085,"$73,232 ",17,T1,821,CA,"$387,889 ",MTG-CV,27.7,FALSE,FALSE,FALSE,Approved,8/3/2026
APP100086,"$81,714 ",45,T5,429,CA,"$2,721 ",CRD-ST,30.4,FALSE,FALSE,TRUE,Declined,6/5/2024
APP100087,"$149,249 ",44,T4,660,NC,"$32,950 ",AUT-TT,25.7,FALSE,FALSE,FALSE,Review,11/24/2025
APP100088,"$159,999 ",138,T2,755,FL,"$6,517 ",AUT-SP,13.8,FALSE,FALSE,FALSE,Approved,9/8/2025
APP100089,"$218,015 ",122,T3,716,CA,"$6,120 ",CRD-ST,15.4,FALSE,FALSE,FALSE,Review,6/2/2024
APP100090,"$220,585 ",183,T3,715,TX,"$40,917 ",CRD-EL,20.5,TRUE,FALSE,FALSE,Review,4/29/2024
APP100091,"$64,437 ",231,T3,694,NC,"$26,532 ",AUT-TT,30.5,FALSE,FALSE,FALSE,Review,12/1/2024
APP100092,"$98,072 ",338,T4,678,NC,"$45,577 ",CRD-EL,43.7,FALSE,FALSE,FALSE,Review,5/3/2025
APP100093,"$190,934 ",251,T3,715,TX,"$479,619 ",MTG-FH,28.4,FALSE,FALSE,FALSE,Review,2/22/2025
APP100094,"$150,197 ",254,T4,668,CA,"$32,216 ",AUT-TT,40.4,FALSE,FALSE,FALSE,Review,2/21/2025
APP100095,"$233,368 ",104,T4,631,FL,"$1,793,639 ",MTG-JB,46.7,FALSE,FALSE,FALSE,Review,10/24/2024
APP100096,"$154,316 ",294,T1,831,FL,"$8,791 ",AUT-SP,10.5,FALSE,FALSE,FALSE,Approved,5/14/2024
APP100097,"$192,781 ",299,T4,620,TX,"$2,735 ",CRD-ST,27.3,FALSE,FALSE,FALSE,Review,1/6/2026
APP100098,"$181,772 ",94,T3,704,FL,"$48,490 ",AUT-TT,27.3,FALSE,FALSE,FALSE,Review,11/9/2025
APP100099,"$194,847 ",111,T3,693,FL,"$1,308,073 ",MTG-JB,40.2,FALSE,FALSE,FALSE,Review,6/25/2026
APP100100,"$190,345 ",163,T3,718,CA,"$8,500 ",CRD-ST,41.9,FALSE,FALSE,FALSE,Review,5/30/2026
APP100101,"$123,402 ",221,T1,815,TX,"$1,338 ",CRD-SC,22.5,FALSE,FALSE,FALSE,Approved,1/9/2026
APP100102,"$81,394 ",171,T5,504,CA,"$31,694 ",CRD-EL,34,FALSE,FALSE,FALSE,Declined,3/20/2024
APP100103,"$249,408 ",303,T4,663,CA,"$9,604 ",AUT-SP,23.6,FALSE,FALSE,FALSE,Review,11/24/2026
APP100104,"$184,254 ",89,T1,807,NC,"$30,678 ",AUT-SP,16.5,FALSE,FALSE,FALSE,Approved,1/23/2024
APP100105,"$71,571 ",25,T5,484,NC,"$27,658 ",AUT-TT,51.6,TRUE,FALSE,FALSE,Declined,10/28/2024
APP100106,"$104,740 ",78,T5,415,CA,"$43,376 ",AUT-TR,56,FALSE,FALSE,TRUE,Declined,7/14/2024
APP100107,"$53,387 ",316,T3,731,CA,"$24,600 ",AUT-TT,16.1,FALSE,FALSE,TRUE,Review,5/4/2025
APP100108,"$54,398 ",46,T3,730,TX,"$460,891 ",MTG-CV,33.3,FALSE,TRUE,FALSE,Review,3/26/2024
APP100109,"$96,674 ",183,T4,643,CA,"$353,054 ",MTG-FH,20,FALSE,FALSE,FALSE,Review,7/9/2026
APP100110,"$91,462 ",309,T3,716,TX,"$8,368 ",CRD-ST,28.5,FALSE,FALSE,FALSE,Review,1/28/2026
APP100111,"$235,183 ",196,T4,654,TX,$868 ,CRD-SC,47.3,FALSE,FALSE,FALSE,Review,5/20/2024
APP100112,"$197,380 ",291,T3,734,FL,"$40,869 ",CRD-EL,22.9,FALSE,FALSE,FALSE,Review,10/13/2026
APP100113,"$246,514 ",1,T2,779,CA,"$23,058 ",AUT-SP,16.1,FALSE,FALSE,FALSE,Approved,3/30/2026
APP100114,"$196,936 ",303,T3,698,TX,"$10,918 ",CRD-EL,22.5,FALSE,FALSE,FALSE,Review,4/1/2026
APP100115,"$52,970 ",298,T5,510,CA,"$8,944 ",CRD-ST,31.5,TRUE,FALSE,FALSE,Declined,9/26/2026
APP100116,"$171,806 ",23,T1,832,TX,"$2,077 ",CRD-SC,8.4,FALSE,FALSE,FALSE,Approved,6/10/2024
APP100117,"$128,514 ",245,T3,694,CA,"$13,431 ",AUT-TT,19.9,FALSE,FALSE,FALSE,Review,6/15/2024
APP100118,"$48,567 ",241,T4,644,TX,"$10,402 ",CRD-ST,36.8,FALSE,FALSE,FALSE,Review,2/7/2025
APP100119,"$113,663 ",63,T4,630,CA,"$5,313 ",CRD-EL,38.1,FALSE,FALSE,FALSE,Review,11/11/2024
APP100120,"$78,493 ",321,T1,825,FL,"$322,839 ",MTG-FH,22,FALSE,FALSE,FALSE,Approved,2/17/2024
APP100121,"$110,206 ",244,T4,646,FL,"$73,142 ",AUT-TR,20.3,FALSE,FALSE,FALSE,Review,6/16/2026
APP100122,"$75,180 ",194,T5,431,TX,"$30,314 ",AUT-SP,27.7,FALSE,FALSE,TRUE,Declined,6/27/2024
APP100123,"$93,022 ",88,T3,690,FL,"$6,635 ",AUT-SP,20.5,FALSE,FALSE,TRUE,Review,6/21/2026
APP100124,"$187,947 ",272,T3,722,NC,"$1,071,704 ",MTG-JB,30.3,FALSE,FALSE,FALSE,Review,3/29/2026
APP100125,"$47,719 ",284,T2,785,NC,"$31,257 ",CRD-EL,23.9,FALSE,FALSE,FALSE,Approved,1/16/2026
APP100126,"$193,427 ",212,T3,714,FL,"$191,971 ",MTG-FH,41.9,FALSE,FALSE,FALSE,Review,10/20/2024
APP100127,"$159,666 ",283,T1,802,FL,"$393,195 ",MTG-FH,15.6,FALSE,FALSE,FALSE,Approved,1/30/2025
APP100128,"$104,102 ",43,T3,690,NC,"$782,483 ",MTG-JB,35.2,FALSE,FALSE,FALSE,Review,2/27/2024
APP100129,"$94,281 ",216,T4,635,CA,"$2,387 ",CRD-SC,41.8,FALSE,FALSE,FALSE,Review,8/24/2026
APP100130,"$231,200 ",108,T3,694,FL,"$314,741 ",MTG-CV,37.6,FALSE,FALSE,FALSE,Review,5/19/2026
APP100131,"$226,369 ",327,T2,778,TX,$962 ,CRD-SC,32.5,FALSE,FALSE,FALSE,Approved,8/31/2026
APP100132,"$188,719 ",209,T2,745,FL,"$239,807 ",MTG-FH,28.5,FALSE,FALSE,FALSE,Approved,6/20/2025
APP100133,"$91,916 ",179,T2,793,NC,"$1,436,530 ",MTG-JB,23.9,FALSE,FALSE,FALSE,Approved,7/2/2025
APP100134,"$164,835 ",277,T2,768,FL,"$19,465 ",AUT-SP,19,FALSE,FALSE,FALSE,Approved,3/22/2026
APP100135,"$190,721 ",182,T1,801,TX,"$91,139 ",AUT-TR,16.9,FALSE,FALSE,FALSE,Approved,12/28/2024
APP100136,"$60,101 ",237,T3,701,TX,"$419,143 ",MTG-FH,16.3,FALSE,FALSE,FALSE,Review,9/7/2024
APP100137,"$190,555 ",343,T2,755,NC,"$29,617 ",AUT-TT,33.5,FALSE,FALSE,FALSE,Approved,12/16/2025
APP100138,"$113,609 ",176,T3,705,TX,"$320,761 ",MTG-FH,29.7,FALSE,FALSE,FALSE,Review,3/6/2024
APP100139,"$87,694 ",295,T2,790,TX,"$18,777 ",AUT-SP,14.7,TRUE,FALSE,FALSE,Approved,3/2/2024
APP100140,"$79,736 ",40,T4,620,NC,"$46,592 ",CRD-EL,33.8,FALSE,FALSE,FALSE,Review,6/9/2025
APP100141,"$239,024 ",17,T3,685,FL,"$1,055,880 ",MTG-JB,36.8,FALSE,FALSE,TRUE,Review,3/22/2024
APP100142,"$175,837 ",210,T5,365,CA,"$19,463 ",AUT-SP,28.8,FALSE,FALSE,TRUE,Declined,7/3/2024
APP100143,"$185,617 ",221,T3,715,FL,"$22,197 ",AUT-TT,25.8,FALSE,FALSE,FALSE,Review,1/13/2025
APP100144,"$41,094 ",298,T2,772,TX,"$43,784 ",CRD-EL,12,FALSE,FALSE,FALSE,Approved,2/10/2026
APP100145,"$155,155 ",28,T4,649,NC,"$19,383 ",CRD-EL,35.1,FALSE,FALSE,FALSE,Review,10/19/2024
APP100146,"$135,681 ",253,T4,631,FL,"$772,223 ",MTG-CV,34.2,FALSE,FALSE,FALSE,Review,11/2/2026
APP100147,"$221,252 ",290,T1,813,CA,"$49,796 ",CRD-EL,27.9,FALSE,FALSE,FALSE,Approved,5/18/2026
APP100148,"$81,680 ",113,T4,649,TX,"$1,661 ",CRD-SC,39.2,FALSE,FALSE,FALSE,Review,7/29/2025
APP100149,"$39,780 ",132,T1,840,NC,"$20,053 ",AUT-SP,23.9,FALSE,FALSE,FALSE,Approved,2/8/2025
APP100150,"$155,156 ",236,T3,703,TX,"$8,494 ",CRD-ST,24.4,FALSE,FALSE,FALSE,Review,7/31/2024
APP100151,"$160,546 ",296,T5,325,TX,"$9,540 ",CRD-ST,38.1,FALSE,FALSE,FALSE,Declined,8/23/2025
APP100152,"$122,403 ",120,T2,740,FL,$737 ,CRD-SC,33.8,FALSE,FALSE,TRUE,Approved,4/20/2024
APP100153,"$91,413 ",347,T2,763,FL,"$11,618 ",CRD-ST,13.2,FALSE,FALSE,FALSE,Approved,9/18/2026
APP100154,"$187,527 ",298,T2,755,TX,"$1,787 ",CRD-SC,19.6,FALSE,FALSE,FALSE,Approved,11/3/2024
APP100155,"$179,600 ",16,T4,625,CA,"$46,716 ",CRD-EL,27.1,FALSE,FALSE,TRUE,Review,5/14/2025
APP100156,"$206,592 ",63,T2,752,NC,"$1,068,377 ",MTG-JB,14,FALSE,FALSE,FALSE,Approved,10/26/2025
APP100157,"$92,263 ",307,T4,641,FL,"$6,663 ",CRD-EL,42.3,FALSE,FALSE,FALSE,Review,2/28/2024
APP100158,"$168,453 ",219,T4,632,CA,"$505,155 ",MTG-CV,37.5,TRUE,FALSE,FALSE,Review,10/30/2025
APP100159,"$206,521 ",251,T5,572,FL,"$2,121 ",CRD-SC,37.8,TRUE,FALSE,FALSE,Declined,1/22/2026
APP100160,"$60,267 ",212,T2,749,FL,"$346,801 ",MTG-FH,29.7,FALSE,FALSE,FALSE,Approved,6/20/2025
APP100161,"$60,570 ",94,T4,666,CA,"$5,411 ",CRD-EL,34.1,FALSE,FALSE,FALSE,Review,12/25/2024
APP100162,"$45,729 ",354,T3,698,FL,"$46,717 ",AUT-TT,33.6,FALSE,FALSE,FALSE,Review,10/14/2026
APP100163,"$109,861 ",177,T2,780,FL,"$468,502 ",MTG-FH,14.5,FALSE,FALSE,FALSE,Approved,8/27/2024
APP100164,"$54,751 ",289,T4,650,FL,"$760,263 ",MTG-CV,48.5,FALSE,FALSE,FALSE,Review,6/22/2024
APP100165,"$182,372 ",248,T4,638,FL,"$1,350,639 ",MTG-JB,30.7,FALSE,FALSE,TRUE,Review,8/25/2026
APP100166,"$144,672 ",14,T1,824,TX,"$860,193 ",MTG-JB,14.1,FALSE,FALSE,FALSE,Approved,2/7/2025
APP100167,"$97,573 ",166,T2,799,NC,"$160,973 ",MTG-FH,33.2,FALSE,FALSE,FALSE,Approved,12/9/2025
APP100168,"$96,736 ",172,T1,839,CA,"$456,722 ",MTG-CV,23.9,FALSE,FALSE,FALSE,Approved,2/10/2025
APP100169,"$166,897 ",125,T3,696,FL,"$54,983 ",AUT-TT,40.8,FALSE,FALSE,FALSE,Review,8/22/2026
APP100170,"$220,432 ",61,T3,689,NC,"$38,436 ",AUT-TT,29.9,FALSE,FALSE,FALSE,Review,8/28/2024
APP100171,"$79,803 ",61,T1,839,CA,"$14,680 ",AUT-SP,13.4,FALSE,FALSE,FALSE,Approved,7/3/2026
APP100172,"$190,367 ",229,T2,799,TX,"$9,526 ",AUT-SP,27.7,FALSE,FALSE,TRUE,Approved,3/6/2024
APP100173,"$84,450 ",72,T5,358,NC,"$763,049 ",MTG-CV,50.1,FALSE,FALSE,FALSE,Declined,12/2/2025
APP100174,"$137,242 ",183,T2,747,TX,"$26,497 ",CRD-EL,31.7,FALSE,FALSE,FALSE,Approved,3/18/2025
APP100175,"$43,069 ",165,T2,774,FL,"$74,792 ",AUT-TR,14.8,FALSE,FALSE,FALSE,Approved,6/8/2025
APP100176,"$57,640 ",253,T5,578,FL,"$21,600 ",CRD-EL,44.8,FALSE,FALSE,FALSE,Declined,10/7/2026
APP100177,"$80,598 ",254,T4,638,TX,"$23,379 ",CRD-EL,44.2,FALSE,FALSE,FALSE,Review,7/27/2024
APP100178,"$133,131 ",144,T3,732,TX,"$417,912 ",MTG-FH,33,FALSE,FALSE,FALSE,Review,12/5/2025
APP100179,"$114,395 ",39,T3,700,FL,"$343,760 ",MTG-FH,37.2,FALSE,FALSE,TRUE,Review,11/5/2026
APP100180,"$174,422 ",26,T4,666,CA,"$1,839,717 ",MTG-JB,44.3,FALSE,FALSE,TRUE,Review,6/21/2025
APP100181,"$70,009 ",118,T4,669,FL,"$45,903 ",CRD-EL,28.2,FALSE,FALSE,FALSE,Review,12/10/2026
APP100182,"$211,091 ",349,T4,658,TX,"$2,407 ",CRD-SC,33.3,FALSE,FALSE,TRUE,Review,4/14/2024
APP100183,"$157,418 ",302,T1,816,NC,"$1,347,889 ",MTG-JB,24,FALSE,FALSE,FALSE,Approved,10/10/2026
APP100184,"$217,891 ",91,T4,662,NC,"$25,995 ",AUT-SP,29.3,FALSE,FALSE,FALSE,Review,11/21/2024
APP100185,"$191,597 ",241,T1,838,NC,"$38,087 ",AUT-TT,8.4,TRUE,FALSE,FALSE,Approved,7/5/2026
APP100186,"$106,268 ",81,T2,791,CA,"$410,797 ",MTG-FH,19.4,TRUE,FALSE,FALSE,Approved,7/10/2026
APP100187,"$109,537 ",92,T2,743,NC,"$610,100 ",MTG-CV,25.8,FALSE,FALSE,FALSE,Approved,10/24/2024
APP100188,"$110,889 ",261,T3,688,TX,"$453,127 ",MTG-FH,27,FALSE,FALSE,FALSE,Review,6/4/2024
APP100189,"$131,976 ",104,T5,499,NC,"$1,009 ",CRD-SC,50.6,FALSE,FALSE,FALSE,Declined,9/30/2026
APP100190,"$235,380 ",316,T4,652,CA,"$12,639 ",AUT-SP,37.3,FALSE,TRUE,TRUE,Review,11/9/2026
APP100191,"$244,370 ",96,T4,641,CA,"$25,777 ",AUT-SP,23.4,FALSE,FALSE,FALSE,Review,11/18/2024
APP100192,"$59,323 ",83,T1,837,NC,"$6,213 ",CRD-ST,22.4,FALSE,FALSE,FALSE,Approved,12/31/2025
APP100193,"$208,770 ",229,T2,754,TX,"$19,532 ",AUT-TT,17.3,FALSE,FALSE,FALSE,Approved,11/30/2024
APP100194,"$240,482 ",325,T2,764,NC,"$1,336,960 ",MTG-JB,15.9,FALSE,FALSE,FALSE,Approved,1/14/2026
APP100195,"$104,748 ",114,T5,420,TX,"$636,844 ",MTG-CV,30.2,FALSE,FALSE,FALSE,Declined,8/1/2024
APP100196,"$120,252 ",170,T2,777,FL,"$9,034 ",CRD-ST,16.9,FALSE,FALSE,FALSE,Approved,3/14/2026
APP100197,"$204,538 ",310,T5,336,FL,"$1,306,581 ",MTG-JB,27.2,FALSE,FALSE,FALSE,Declined,9/2/2026
APP100198,"$171,345 ",133,T4,657,FL,"$1,479,248 ",MTG-JB,31.9,FALSE,FALSE,FALSE,Review,5/4/2025
APP100199,"$134,724 ",145,T3,718,CA,"$7,480 ",CRD-ST,34.4,FALSE,FALSE,FALSE,Review,8/27/2026
APP100200,"$112,899 ",265,T4,678,CA,"$1,872,106 ",MTG-JB,49.3,FALSE,TRUE,FALSE,Review,9/30/2024
APP100201,"$88,883 ",119,T4,644,TX,"$31,974 ",AUT-SP,46.3,FALSE,FALSE,FALSE,Review,3/18/2025
APP100202,"$42,854 ",276,T1,834,TX,"$714,445 ",MTG-CV,24.2,FALSE,FALSE,FALSE,Approved,6/12/2024
APP100203,"$77,089 ",138,T4,633,FL,$383 ,CRD-SC,23.7,FALSE,FALSE,FALSE,Review,3/27/2024
