event_id,applicant_id,event_date,prior_tier,new_tier,prior_fico,new_fico,tier_changed_flag,bureau_source,event_status,event_reason
EVT-000043,APP-00014,2025-11-06,T1,T1,745,751,0,TransUnion,soft_pull,periodic_review
EVT-000044,APP-00015,2024-06-14,T4,T4,588,592,0,Equifax,hard_pull,origination
EVT-000045,APP-00015,2025-03-02,T4,T5,592,568,1,TransUnion,completed,delinquency_trigger
EVT-000046,APP-00015,2025-12-15,T5,T5,568,571,0,Experian,dispute_flag,dispute_resolution
EVT-000047,APP-00016,2024-01-22,T1,T1,768,772,0,TransUnion,hard_pull,origination
EVT-000048,APP-00016,2024-09-05,T1,T1,772,775,0,Experian,soft_pull,periodic_review
EVT-000049,APP-00016,2025-06-18,T1,T1,775,770,0,Equifax,completed,rate_repricing
EVT-000050,APP-00017,2024-02-28,T2,T2,698,702,0,Experian,hard_pull,origination
EVT-000051,APP-00017,2024-10-22,T2,T2,702,706,0,Equifax,soft_pull,periodic_review
EVT-000052,APP-00017,2025-07-08,T2,T2,706,711,0,TransUnion,completed,limit_increase_request
EVT-000053,APP-00018,2024-03-19,T3,T3,656,662,0,Equifax,hard_pull,origination
EVT-000054,APP-00018,2024-11-28,T3,T3,662,667,0,TransUnion,soft_pull,periodic_review
EVT-000055,APP-00018,2025-08-05,T3,T2,667,685,1,Experian,completed,rate_repricing
EVT-000056,APP-00019,2024-05-07,T5,T5,550,555,0,TransUnion,hard_pull,origination
EVT-000057,APP-00019,2025-01-11,T5,T5,555,559,0,Experian,failed,periodic_review
EVT-000058,APP-00019,2025-09-19,T5,T4,559,588,1,Equifax,completed,dispute_resolution
EVT-000059,APP-00020,2024-04-16,T2,T2,710,715,0,Experian,hard_pull,origination
EVT-000060,APP-00020,2024-12-08,T2,T2,715,719,0,Equifax,soft_pull,periodic_review
EVT-000061,APP-00020,2025-08-27,T2,T1,719,742,1,TransUnion,completed,limit_increase_request
EVT-000062,APP-00021,2024-01-14,T1,T1,762,768,0,TransUnion,hard_pull,origination
EVT-000063,APP-00021,2024-08-19,T1,T1,768,771,0,Experian,soft_pull,periodic_review
EVT-000064,APP-00021,2025-05-11,T1,T1,771,766,0,Equifax,completed,rate_repricing
EVT-000065,APP-00022,2024-06-02,T3,T3,622,628,0,Equifax,hard_pull,origination
EVT-000066,APP-00022,2025-02-14,T3,T4,628,608,1,TransUnion,completed,delinquency_trigger
EVT-000067,APP-00022,2025-10-25,T4,T4,608,612,0,Experian,soft_pull,periodic_review
EVT-000068,APP-00023,2024-03-08,T2,T2,687,691,0,Experian,hard_pull,origination
EVT-000069,APP-00023,2024-11-14,T2,T2,691,696,0,Equifax,soft_pull,periodic_review
EVT-000070,APP-00023,2025-07-22,T2,T2,696,702,0,TransUnion,completed,limit_increase_request
EVT-000071,APP-00024,2024-05-25,T4,T4,600,605,0,Equifax,hard_pull,origination
EVT-000072,APP-00024,2025-01-28,T4,T4,605,609,0,TransUnion,soft_pull,periodic_review
EVT-000073,APP-00024,2025-09-11,T4,T3,609,625,1,Experian,completed,dispute_resolution
EVT-000074,APP-00025,2024-02-06,T1,T1,784,788,0,TransUnion,hard_pull,origination
EVT-000075,APP-00025,2024-09-22,T1,T1,788,792,0,Experian,soft_pull,periodic_review
EVT-000076,APP-00
